repo_fullname,issue_url,created_date,close_date,created_by,closed_by,num_of_comments,num_of_collabos,coding_agent_usage,fixer_experience,coding_agent_bin,comments/collaborators,open-close,time_to_close,hours_to_close
ai-christianson/RA.Aid,https://github.com/ai-christianson/RA.Aid/issues/41,2025-01-13T04:06:12Z,2025-01-21T06:28:54Z,ariel-frischer,ariel-frischer,0,1,FALSE,648,0,0,1,8 days 02:22:42,194.3783333
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/7751,2025-05-28T15:44:30Z,2025-06-30T20:50:19Z,mikeldking,Jgilhuly,1,2,FALSE,"1,257",0,0.5,0,33 days 05:05:49,797.0969444
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10093,2024-12-02T21:39:32Z,2024-12-02T22:24:04Z,sharon-wang,abidlabs,0,2,FALSE,"17,543",0,0,0,0 days 00:44:32,0.7422222222
coleam00/Archon,https://github.com/coleam00/Archon/issues/49,2025-03-08T10:53:28Z,2025-03-08T10:57:12Z,tcsenpai,tcsenpai,1,1,FALSE,789,0,1,1,0 days 00:03:44,0.06222222222
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/867,2025-03-21T19:55:56Z,2025-04-22T15:22:45Z,eliaweiss,unclecode,1,3,FALSE,"29,339",0,0.3333333333,0,31 days 19:26:49,763.4469444
Lightning-AI/LitServe,https://github.com/Lightning-AI/LitServe/issues/372,2024-11-28T17:12:23Z,2025-04-30T14:03:36Z,FrsECM,aniketmaurya,7,5,FALSE,"3,406",0,1.4,0,152 days 20:51:13,3668.853611
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/11253,2025-05-24T10:58:20Z,2025-06-17T18:53:44Z,damianib,abidlabs,3,3,FALSE,"18,575",0,1,0,24 days 07:55:24,583.9233333
Starlitnightly/omicverse,https://github.com/Starlitnightly/omicverse/issues/197,2024-10-31T07:02:18Z,2024-11-12T07:02:56Z,Dexterssssss,Dexterssssss,4,2,FALSE,0,0,2,1,12 days 00:00:38,288.0105556
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/5435,2024-11-19T18:27:40Z,2024-11-19T18:31:20Z,Parker-Stafford,Parker-Stafford,1,1,FALSE,"1,414",0,1,1,0 days 00:03:40,0.06111111111
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/378,2024-12-26T23:31:20Z,2024-12-30T14:02:19Z,Aashmit,Aashmit,6,4,FALSE,13,0,1.5,1,3 days 14:30:59,86.51638889
atopile/atopile,https://github.com/atopile/atopile/issues/814,2025-01-10T22:07:22Z,2025-01-12T02:11:16Z,hexdae,mawildoer,2,2,FALSE,"1,503",0,1,0,1 days 04:03:54,28.065
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10526,2025-02-06T12:50:23Z,2025-04-08T21:02:08Z,suhaniquantanite,pngwn,3,4,FALSE,"13,630",0,0.75,0,61 days 08:11:45,1472.195833
dagster-io/dagster,https://github.com/dagster-io/dagster/issues/27978,2025-02-21T12:56:53Z,2025-02-24T17:23:00Z,benoitsdm,benoitsdm,1,1,FALSE,0,0,1,1,3 days 04:26:07,76.43527778
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/11341,2025-06-05T11:21:44Z,2025-06-13T19:40:43Z,msftedad,abidlabs,2,3,FALSE,"18,558",0,0.6666666667,0,8 days 08:18:59,200.3163889
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/5240,2024-10-31T06:47:48Z,2024-11-06T18:43:57Z,exiao,RogerHYang,4,2,FALSE,"5,982",0,2,0,6 days 11:56:09,155.9358333
deepset-ai/hayhooks,https://github.com/deepset-ai/hayhooks/issues/104,2025-04-08T15:35:49Z,2025-04-10T13:33:17Z,AmadorLM,sjrl,9,3,FALSE,"3,302",0,3,0,1 days 21:57:28,45.95777778
dagster-io/dagster,https://github.com/dagster-io/dagster/issues/30919,2025-06-26T06:37:39Z,2025-07-28T13:27:45Z,jumpmanjay,jumpmanjay,4,2,FALSE,171,0,2,1,32 days 06:50:06,774.835
huggingface/smolagents,https://github.com/huggingface/smolagents/issues/78,2025-01-06T03:21:04Z,2025-01-08T22:03:02Z,joaopauloschuler,aymeric-roucher,3,3,FALSE,"5,558",0,1,0,2 days 18:41:58,66.69944444
mem0ai/mem0,https://github.com/mem0ai/mem0/issues/2505,2025-04-06T12:17:27Z,2025-04-07T17:59:56Z,Antony-Jia,Dev-Khant,0,2,FALSE,"8,680",0,0,0,1 days 05:42:29,29.70805556
Byaidu/PDFMathTranslate,https://github.com/Byaidu/PDFMathTranslate/issues/584,2025-02-08T16:18:35Z,2025-04-19T19:18:13Z,gansui,awwaawwa,4,2,FALSE,"12,212",0,2,0,70 days 02:59:38,1682.993889
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/1126,2025-05-18T14:57:09Z,2025-05-30T07:38:58Z,saschalev,aravindkarnam,3,5,FALSE,"1,773",0,0.6,0,11 days 16:41:49,280.6969444
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/1229,2025-06-18T00:11:01Z,2025-06-18T17:09:13Z,ghiyo,ntohidi,1,2,FALSE,782,0,0.5,0,0 days 16:58:12,16.97
doobidoo/mcp-memory-service,https://github.com/doobidoo/mcp-memory-service/issues/60,2025-07-27T19:09:58Z,2025-07-28T14:57:38Z,docbobo,doobidoo,1,2,FALSE,"1,711",0,0.5,0,0 days 19:47:40,19.79444444
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10326,2025-01-10T07:20:48Z,2025-01-10T16:40:57Z,Col0ring,pngwn,0,2,FALSE,"13,582",0,0,0,0 days 09:20:09,9.335833333
konveyor/kai,https://github.com/konveyor/kai/issues/391,2024-09-26T16:39:27Z,2025-02-19T22:36:19Z,sshaaf,fabianvf,4,4,FALSE,"14,178",0,1,0,146 days 05:56:52,3509.947778
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10116,2024-12-04T12:01:55Z,2025-01-29T00:24:15Z,greg2705,abidlabs,6,4,FALSE,"17,900",0,1.5,0,55 days 12:22:20,1332.372222
ezyang/codemcp,https://github.com/ezyang/codemcp/issues/145,2025-03-21T05:18:03Z,2025-03-22T07:38:08Z,borrelan,ezyang,3,2,FALSE,"399,121",0,1.5,0,1 days 02:20:05,26.33472222
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/5317,2024-11-11T20:18:07Z,2024-11-11T20:20:14Z,axiomofjoy,axiomofjoy,0,1,FALSE,"5,284",0,0,1,0 days 00:02:07,0.03527777778
intuitem/ciso-assistant-community,https://github.com/intuitem/ciso-assistant-community/issues/1958,2025-05-10T10:09:39Z,2025-05-10T19:28:09Z,Alssi-consulting,ab-smith,0,2,FALSE,"9,712",0,0,0,0 days 09:18:30,9.308333333
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/8334,2025-06-30T19:04:33Z,2025-07-01T22:57:39Z,mikeldking,mikeldking,0,1,FALSE,"13,746",0,0,1,1 days 03:53:06,27.885
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/5472,2024-11-20T22:44:10Z,2024-11-25T17:29:38Z,axiomofjoy,Parker-Stafford,0,2,FALSE,"1,445",0,0,0,4 days 18:45:28,114.7577778
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/9889,2024-11-01T11:43:51Z,2025-01-22T18:35:04Z,FurkanGozukara,freddyaboulton,1,3,FALSE,"7,468",0,0.3333333333,0,82 days 06:51:13,1974.853611
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10295,2025-01-06T11:42:32Z,2025-01-07T15:34:41Z,FliegendeWurst,freddyaboulton,4,3,FALSE,"7,407",0,1.333333333,0,1 days 03:52:09,27.86916667
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/963,2025-04-09T12:44:08Z,2025-05-30T09:23:37Z,Crush0,aravindkarnam,0,2,FALSE,"1,773",0,0,0,50 days 20:39:29,1220.658056
Davidyz/VectorCode,https://github.com/Davidyz/VectorCode/issues/163,2025-05-29T16:43:47Z,2025-06-01T01:51:25Z,sailorbob134280,Davidyz,2,2,FALSE,"1,936",0,1,0,2 days 09:07:38,57.12722222
huggingface/smolagents,https://github.com/huggingface/smolagents/issues/597,2025-02-11T03:47:02Z,2025-02-11T09:16:25Z,jannikjw,albertvillanova,2,2,FALSE,"10,906",0,1,0,0 days 05:29:23,5.489722222
atopile/atopile,https://github.com/atopile/atopile/issues/1005,2025-02-22T02:47:36Z,2025-03-11T17:38:58Z,augustoroman,sam-mellor,0,2,FALSE,"3,837,477,170",0,0,0,17 days 14:51:22,422.8561111
opensource-observer/oso,https://github.com/opensource-observer/oso/issues/2904,2025-01-29T21:13:35Z,2025-01-29T21:13:54Z,ryscheng,ryscheng,1,1,FALSE,"5,593",0,1,1,0 days 00:00:19,0.005277777778
microsoft/markitdown,https://github.com/microsoft/markitdown/issues/149,2024-12-19T15:29:56Z,2024-12-20T00:24:46Z,davidwoodburn,gagb,2,3,FALSE,"3,678",0,0.6666666667,0,0 days 08:54:50,8.913888889
trycua/cua,https://github.com/trycua/cua/issues/160,2025-05-07T17:34:29Z,2025-05-07T17:56:00Z,ngaloppo,ngaloppo,2,2,FALSE,"1,082",0,1,1,0 days 00:21:31,0.3586111111
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/11056,2025-04-18T16:00:18Z,2025-05-14T19:04:38Z,mattiamondo,pngwn,8,6,FALSE,"13,655",0,1.333333333,0,26 days 03:04:20,627.0722222
Goldziher/kreuzberg,https://github.com/Goldziher/kreuzberg/issues/41,2025-04-10T12:24:11Z,2025-04-26T14:30:22Z,arnoudplantinga,Goldziher,1,2,FALSE,"8,244",0,0.5,0,16 days 02:06:11,386.1030556
huggingface/smolagents,https://github.com/huggingface/smolagents/issues/808,2025-02-26T18:53:28Z,2025-02-27T09:39:23Z,gyptian4life,albertvillanova,4,2,FALSE,"11,429",0,2,0,0 days 14:45:55,14.76527778
BeehiveInnovations/zen-mcp-server,https://github.com/BeehiveInnovations/zen-mcp-server/issues/104,2025-06-21T15:29:27Z,2025-06-21T17:49:29Z,kaskabayev,guidedways,4,2,FALSE,"4,903",0,2,0,0 days 02:20:02,2.333888889
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/5512,2024-11-22T21:55:56Z,2024-11-22T23:25:16Z,Parker-Stafford,RogerHYang,0,2,FALSE,"6,147",0,0,0,0 days 01:29:20,1.488888889
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/1230,2025-06-18T07:58:50Z,2025-07-13T13:36:28Z,Masterain98,aravindkarnam,1,3,FALSE,"1,789",0,0.3333333333,0,25 days 05:37:38,605.6272222
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/571,2025-01-28T08:23:19Z,2025-01-31T18:12:37Z,darshangparab,aravindkarnam,3,3,FALSE,166,0,1,0,3 days 09:49:18,81.82166667
agiresearch/AIOS,https://github.com/agiresearch/AIOS/issues/403,2025-01-07T01:13:28Z,2025-01-07T17:06:58Z,XiangZhang-zx,dongyuanjushi,1,2,FALSE,"1,732",0,0.5,0,0 days 15:53:30,15.89166667
memodb-io/memobase,https://github.com/memodb-io/memobase/issues/77,2025-05-23T03:44:55Z,2025-05-26T06:40:12Z,VikramBhiwapurkar,gusye1234,1,2,FALSE,"2,130",0,0.5,0,3 days 02:55:17,74.92138889
nottelabs/notte,https://github.com/nottelabs/notte/issues/16,2024-12-11T23:02:45Z,2024-12-13T00:46:14Z,TonioSnowden,andreakiro,0,2,FALSE,"1,874",0,0,0,1 days 01:43:29,25.72472222
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/11592,2025-07-17T03:06:06Z,2025-07-23T17:27:06Z,anirbanbasu,abidlabs,9,2,FALSE,"18,654",0,4.5,0,6 days 14:21:00,158.35
Teradata/teradata-mcp-server,https://github.com/Teradata/teradata-mcp-server/issues/40,2025-05-21T16:32:58Z,2025-05-28T12:49:56Z,Pibbers,remi-td,2,3,FALSE,332,0,0.6666666667,0,6 days 20:16:58,164.2827778
opensource-observer/oso,https://github.com/opensource-observer/oso/issues/4060,2025-06-05T21:12:17Z,2025-06-05T21:42:08Z,ccerv1,ccerv1,1,2,TRUE,"2,563",1,0.5,1,0 days 00:29:51,0.4975
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/5139,2024-10-21T21:11:26Z,2024-10-21T23:12:01Z,arizedatngo,axiomofjoy,0,2,FALSE,"5,164",0,0,0,0 days 02:00:35,2.009722222
SciPhi-AI/R2R,https://github.com/SciPhi-AI/R2R/issues/2094,2025-03-26T10:46:16Z,2025-03-26T17:31:20Z,Pavun57,NolanTrem,3,3,FALSE,"6,224",0,1,0,0 days 06:45:04,6.751111111
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10602,2025-02-17T04:32:20Z,2025-02-19T20:58:22Z,missionfloyd,abidlabs,9,3,FALSE,"18,006",0,3,0,2 days 16:26:02,64.43388889
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/827,2025-03-13T12:54:34Z,2025-03-17T05:42:41Z,VAIBHAVAGARWAL12,VAIBHAVAGARWAL12,1,1,FALSE,5,0,1,1,3 days 16:48:07,88.80194444
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/9810,2024-10-23T02:32:22Z,2024-10-23T17:12:19Z,matabear-wyx,abidlabs,5,5,FALSE,"17,352",0,1,0,0 days 14:39:57,14.66583333
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10085,2024-11-30T00:10:26Z,2024-12-02T20:02:53Z,btakita,abidlabs,0,2,FALSE,"17,543",0,0,0,2 days 19:52:27,67.87416667
getzep/graphiti,https://github.com/getzep/graphiti/issues/297,2025-03-21T09:59:20Z,2025-04-19T03:14:13Z,FuJiaJie123,prasmussen15,2,2,FALSE,"3,240",0,1,0,28 days 17:14:53,689.2480556
nottelabs/notte,https://github.com/nottelabs/notte/issues/85,2025-02-04T15:03:54Z,2025-06-02T21:08:42Z,p00temkin,giordano-lucas,5,2,FALSE,945,0,2.5,0,118 days 06:04:48,2838.08
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/9480,2024-09-30T15:32:48Z,2025-01-15T16:46:47Z,Hernandezjuand,abidlabs,8,4,FALSE,"17,731",0,2,0,107 days 01:13:59,2569.233056
intuitem/ciso-assistant-community,https://github.com/intuitem/ciso-assistant-community/issues/1628,2025-03-06T10:11:17Z,2025-03-06T15:26:45Z,Adevill20,Adevill20,1,2,FALSE,0,0,0.5,1,0 days 05:15:28,5.257777778
ai-christianson/RA.Aid,https://github.com/ai-christianson/RA.Aid/issues/114,2025-03-05T14:41:09Z,2025-03-19T18:12:01Z,sunebeck,ai-christianson,3,2,FALSE,"2,031",0,1.5,0,14 days 03:30:52,339.5144444
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/8622,2025-07-16T23:02:50Z,2025-07-17T15:41:43Z,ejing42,RogerHYang,1,2,FALSE,"7,345",0,0.5,0,0 days 16:38:53,16.64805556
entanglr/zettelkasten-mcp,https://github.com/entanglr/zettelkasten-mcp/issues/17,2025-04-25T00:33:05Z,2025-04-25T07:50:37Z,matt-edmondson,diggy,1,2,FALSE,936,0,0.5,0,0 days 07:17:32,7.292222222
xorq-labs/xorq,https://github.com/xorq-labs/xorq/issues/1053,2025-06-25T14:07:49Z,2025-07-02T12:34:15Z,mesejo,dlovell,1,3,FALSE,"6,703",0,0.3333333333,0,6 days 22:26:26,166.4405556
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/11500,2025-07-02T06:00:31Z,2025-07-09T10:49:32Z,HUGHNew,pngwn,12,6,FALSE,"13,679",0,2,0,7 days 04:49:01,172.8169444
basicmachines-co/basic-memory,https://github.com/basicmachines-co/basic-memory/issues/29,2025-03-13T21:18:29Z,2025-03-15T20:43:38Z,emiryasar,phernandez,4,2,FALSE,178,0,2,0,1 days 23:25:09,47.41916667
huggingface/smolagents,https://github.com/huggingface/smolagents/issues/250,2025-01-17T15:55:26Z,2025-01-22T12:43:18Z,MoritzLaurer,aymeric-roucher,1,2,FALSE,"6,347",0,0.5,0,4 days 20:47:52,116.7977778
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/5217,2024-10-29T08:02:30Z,2024-10-30T21:44:37Z,axiomofjoy,axiomofjoy,0,1,FALSE,"5,230",0,0,1,1 days 13:42:07,37.70194444
cr7258/elasticsearch-mcp-server,https://github.com/cr7258/elasticsearch-mcp-server/issues/19,2025-04-07T13:27:41Z,2025-04-09T07:53:45Z,nospor,cr7258,7,2,FALSE,"1,518",0,3.5,0,1 days 18:26:04,42.43444444
intuitem/ciso-assistant-community,https://github.com/intuitem/ciso-assistant-community/issues/1467,2025-02-04T09:13:11Z,2025-05-22T08:48:24Z,Mordi33,ab-smith,5,3,FALSE,"9,763",0,1.666666667,0,106 days 23:35:13,2567.586944
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/6935,2025-03-27T14:14:00Z,2025-03-27T15:49:43Z,mikeldking,mikeldking,0,1,FALSE,"13,098",0,0,1,0 days 01:35:43,1.595277778
ServiceNow/BrowserGym,https://github.com/ServiceNow/BrowserGym/issues/210,2024-10-25T01:10:11Z,2024-11-15T18:34:44Z,recursix,gasse,4,3,FALSE,"2,020",0,1.333333333,0,21 days 17:24:33,521.4091667
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10162,2024-12-09T20:49:54Z,2025-03-24T20:39:27Z,maxkskhor,abidlabs,1,2,FALSE,"18,082",0,0.5,0,104 days 23:49:33,2519.825833
intuitem/ciso-assistant-community,https://github.com/intuitem/ciso-assistant-community/issues/1529,2025-02-21T15:08:09Z,2025-02-24T09:03:15Z,IoannisKonstantinopoulos,ab-smith,4,3,FALSE,"9,074",0,1.333333333,0,2 days 17:55:06,65.91833333
opensource-observer/oso,https://github.com/opensource-observer/oso/issues/2788,2025-01-16T21:34:38Z,2025-01-16T21:35:14Z,ryscheng,ryscheng,4,1,FALSE,"5,573",0,4,1,0 days 00:00:36,0.01
Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern/issues/1449,2024-12-30T13:44:36Z,2025-01-12T03:25:32Z,jasonhp,suchintan,5,2,FALSE,"1,187",0,2.5,0,12 days 13:40:56,301.6822222
huggingface/smolagents,https://github.com/huggingface/smolagents/issues/1256,2025-04-27T05:39:07Z,2025-04-29T11:21:12Z,vikas25538,albertvillanova,2,3,FALSE,"12,293",0,0.6666666667,0,2 days 05:42:05,53.70138889
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/9828,2024-10-24T07:52:11Z,2025-05-05T05:31:33Z,bergerchris,abidlabs,8,5,FALSE,"18,160",0,1.6,0,192 days 21:39:22,4629.656111
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/6247,2025-02-04T00:45:42Z,2025-02-04T03:53:29Z,aziz01000,cephalization,4,2,FALSE,"2,228",0,2,0,0 days 03:07:47,3.129722222
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/946,2025-04-06T14:11:21Z,2025-04-07T15:22:14Z,canadiancreed,ntohidi,2,2,FALSE,278,0,1,0,1 days 01:10:53,25.18138889
deepset-ai/hayhooks,https://github.com/deepset-ai/hayhooks/issues/124,2025-06-10T01:41:13Z,2025-06-11T12:40:16Z,yoomlam,mpangrazzi,1,2,FALSE,548,0,0.5,0,1 days 10:59:03,34.98416667
huggingface/smolagents,https://github.com/huggingface/smolagents/issues/560,2025-02-08T16:47:53Z,2025-02-09T16:10:52Z,VianneyMI,aymeric-roucher,0,2,FALSE,"6,726",0,0,0,0 days 23:22:59,23.38305556
microsoft/markitdown,https://github.com/microsoft/markitdown/issues/333,2025-02-13T07:03:55Z,2025-03-01T07:25:34Z,aditya005,afourney,4,4,FALSE,"4,581",0,1,0,16 days 00:21:39,384.3608333
mckinsey/vizro,https://github.com/mckinsey/vizro/issues/1140,2025-04-25T14:07:35Z,2025-05-09T10:57:14Z,l0uden,maxschulz-COL,1,3,FALSE,474,0,0.3333333333,0,13 days 20:49:39,332.8275
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/260,2024-11-14T07:15:56Z,2024-11-20T10:52:13Z,chenm1xuexi,unclecode,2,2,FALSE,"16,653",0,1,0,6 days 03:36:17,147.6047222
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10301,2025-01-07T15:28:59Z,2025-01-09T23:44:46Z,aarbelle,abidlabs,1,2,FALSE,"17,701",0,0.5,0,2 days 08:15:47,56.26305556
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/654,2025-02-11T03:02:51Z,2025-02-12T08:00:05Z,Hnam29,aravindkarnam,2,2,FALSE,167,0,1,0,1 days 04:57:14,28.95388889
alexander-zuev/supabase-mcp-server,https://github.com/alexander-zuev/supabase-mcp-server/issues/76,2025-05-25T03:09:01Z,2025-05-25T04:26:27Z,Jaspie88,alexander-zuev,2,2,FALSE,"1,327",0,1,0,0 days 01:17:26,1.290555556
dagster-io/dagster,https://github.com/dagster-io/dagster/issues/24767,2024-09-25T19:07:33Z,2024-09-25T20:08:51Z,brandybobandyistaken,brandybobandyistaken,3,2,FALSE,0,0,1.5,1,0 days 01:01:18,1.021666667
tadata-org/fastapi_mcp,https://github.com/tadata-org/fastapi_mcp/issues/56,2025-04-13T16:04:09Z,2025-07-29T14:57:18Z,kaka1nices,shahar4499,6,5,FALSE,736,0,1.2,0,106 days 22:53:09,2566.885833
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/6456,2025-02-19T21:43:00Z,2025-02-20T20:06:01Z,SrilakshmiC,axiomofjoy,5,4,TRUE,"5,617",1,1.25,0,0 days 22:23:01,22.38361111
konveyor/kai,https://github.com/konveyor/kai/issues/546,2025-01-14T14:19:26Z,2025-01-23T14:50:50Z,abrugaro,shawn-hurley,2,2,FALSE,909,0,1,0,9 days 00:31:24,216.5233333
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/7441,2025-05-06T16:25:20Z,2025-05-06T16:37:22Z,knitzschke,knitzschke,0,1,FALSE,0,0,0,1,0 days 00:12:02,0.2005555556
dagster-io/dagster,https://github.com/dagster-io/dagster/issues/26341,2024-12-07T14:49:36Z,2024-12-07T14:56:35Z,CelianInfo,CelianInfo,1,1,FALSE,0,0,1,1,0 days 00:06:59,0.1163888889
intuitem/ciso-assistant-community,https://github.com/intuitem/ciso-assistant-community/issues/2036,2025-05-23T12:29:33Z,2025-05-23T15:18:41Z,Alssi-consulting,ab-smith,0,2,FALSE,"9,772",0,0,0,0 days 02:49:08,2.818888889
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/11076,2025-04-24T11:35:14Z,2025-07-02T16:17:28Z,tulunlxj2017,hannahblair,1,3,FALSE,"3,508,109,121",0,0.3333333333,0,69 days 04:42:14,1660.703889
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/10057,2024-11-27T22:27:08Z,2024-11-29T16:59:12Z,csanadpoda,abidlabs,2,2,FALSE,"17,504",0,1,0,1 days 18:32:04,42.53444444
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai/issues/1224,2025-06-16T09:29:33Z,2025-06-25T16:56:19Z,chunyuliu106667777,ntohidi,4,2,FALSE,782,0,2,0,9 days 07:26:46,223.4461111
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/11169,2025-05-11T19:37:44Z,2025-05-26T14:54:53Z,wolfthekillerx,abidlabs,2,3,FALSE,"18,418",0,0.6666666667,0,14 days 19:17:09,355.2858333
nlweb-ai/NLWeb,https://github.com/nlweb-ai/NLWeb/issues/178,2025-06-06T21:19:04Z,2025-06-09T20:56:28Z,simon-k,jennifermarsman,0,2,FALSE,"3,037",0,0,0,2 days 23:37:24,71.62333333
dagster-io/dagster,https://github.com/dagster-io/dagster/issues/26322,2024-12-06T16:16:18Z,2024-12-06T17:04:55Z,olgaklassen,olgaklassen,2,2,FALSE,237,0,1,1,0 days 00:48:37,0.8102777778
Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/issues/6515,2025-02-22T01:09:04Z,2025-03-04T16:55:25Z,mikeldking,mikeldking,0,1,FALSE,"12,731",0,0,1,10 days 15:46:21,255.7725
atopile/atopile,https://github.com/atopile/atopile/issues/984,2025-02-17T19:44:43Z,2025-03-04T14:30:32Z,iopapamanoglou,mawildoer,1,3,FALSE,"1,697",0,0.3333333333,0,14 days 18:45:49,354.7636111
